parcel_id,building_no,Total Rooms,Year Built,Building SF,Energy Adj,Roughins,Bedrooms,Effect Age,Quality,Bsmt Wall,Plumb Fixt,Full Baths,Condition,Style,Bsmt SF,Fireplaces,Half Baths,Phys Depr,Design,Bsmt Fin,Porch,Kitchens,Funct Depr,Bldg Type,Bsmt Fin SF,Gar/Shed,Econ Depr,Notes
0010075,1,6,1900,2298.00,Average,1,3,60,3.50,Blk 8in,5,1,Average,1.5 Fin,1424,1,,35,1.5 Sty,1,264,1,,Single,,,,
001007501,1,5,2005,1866.00,Good,1,4,21,4.50,Conc 8in,13,3,Average,1.5 Fin,1156,1,1,18,Contemp,1,467,1,,Single,,,,
001007502,1,,,,No Data,,,,,No Data,,,No Data,No Data,,,,,No Data,,,,,No Data,,,,
0010076,1,6,1825,1634.00,Average,1,2,70,4.00,Stone,8,2,Good,1.5 Fin,1008,,,28,CapeCod,6,855,1,,Single,,,,
0010077,1,,,,No Data,,,,,No Data,,,No Data,No Data,,,,,No Data,,,,,No Data,,,,
0010078,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
001007801,1,8,1990,2016.00,Average,1,4,36,3.00,No Data,10,2,Average,1 Story,,,1,41,DblWide,,300,1,,Mobile,,,,
001007802,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0010079,1,5,1850,1152.00,Average,1,3,80,3.25,Stone,8,2,Fair,1.5 Fin,312,,,59,Colonial,1,675,1,,Single,,,,
001008,1,4,1979,1008.00,Average,1,2,47,3.00,Conc 8in,5,1,Fair/Avg,1 Story,616,,,36,Contemp,1,168,1,,Single,,,,
0010081,1,5,2020,1064.00,Good,1,3,6,3.25,No Data,5,1,Average,1.5 Fin,,,,6,1.5 Sty,,444,1,,Single,,,,
0010083,1,6,1978,1344.00,Average,1,3,48,3.25,Conc 8in,5,1,Avg/Good,1.5 Fin,832,,,24,CapeCod,1,,1,,Single,,,,
0010084,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
001008401,1,8,1990,1792.00,Average,1,4,36,3.25,Conc 8in,10,2,Fair/Avg,1 Story,1792,,1,30,Contemp,4,636,1,,Single,652,576,,
001008501,1,5,1996,1918.00,Good,1,1,30,3.75,Conc 8in,8,2,Avg/Good,2 Story,1158,1,,18,Contemp,1,522,1,,Single,,,,
0010086,1,8,1974,1662.00,Average,1,5,52,3.75,WoodFrame,11,3,Avg/Good,1.5 Fin,744,1,,25,Contemp,4,512,1,,Single,744,99,,
